,0
0,mortgage-repayment-why-is-it-so-hard
1,bnz-app
2,living-overseas-card-expried
3,auckland-anniversary
4,fees-to-deposit-international-cheque
5,new-payment-screen
6,creating-a-joint-account
7,time-zone-wont-let-me-access-bnz-apps
8,available-balance-no-longer-showing-on-mobile-app
9,new-chequebook-policy-makes-no-sense
10,scam-savvy-week-is-here
11,wrong-number-entered-into-account
12,pending-payment-still-pending-7-days-later
13,ipv6
14,does-bnz-have-a-salary-split-feature
15,stay-safe-when-shopping-online
16,mobile-bnz-is-on-the-move
17,international-fraud-awareness-week-comes-to-a-close
18,international-fraud-awareness-week-is-here
19,payment-failed-on-transfer-from-other-bnz-client
20,garmin-pay-and-fitbit-pay
21,card-issues-overseas
22,expiry-time-for-pending-transactions
23,help-with-aml-rules
24,credit
25,watchos-6-crash
26,how-i-colse-my-account-oversea
27,its-cyber-smart-week
28,international-bank-xfers-don-t-work-weekends
29,internet-banking-blocked
30,i-need-my-new-serial-number-card
31,bnz-homeadvantage-credit-card-overseas
32,historical-kiwisaver-unit-prices
33,help
34,credit-cards-and-its-affect-on-ability-to-get-a-mortgage
35,robocall-scam-alert
36,westpac-s-cashnav
37,platinum-credit-card-cover
38,paypal
39,i-cant-register-for-internet-banking
40,why-can-i-not-search-my-payees
41,server-down
42,outage
43,android-pay-on-android-wear-smartwatch
44,payment-with-samsung-s3-gear-watch
45,what-is-mobile-bnz
46,open-business-account-overseas
47,bnz-payclip-feedback-improvement
48,why-do-i-have-to-deal-with-the-small-business-team-for-mortgage
49,show-payee-bank-account-number
50,premiercare-insurance
51,phishing-emails-target-mbie-customers
52,netguard-card-expired
53,overseas-fees-on-credit-card
54,credit-card-limit
55,youmoney-accounts-name-edits-not-sticking
56,bnz-app-running-balance
57,rearrange-accounts-on-bnz-app
58,how-can-i-refresh-my-bnz-statement-in-mobile-app
59,no-network-connection-available
60,closed-for-good
61,keep-an-eye-out-for-this-inland-revenue-phishing-email
62,bnz-app-doing-weird-things-reset-settings
63,ever-wanted-an-alternative-to-the-netguard-card-its-here
64,bnz-log-in-web-browser-outdated
65,convert-personal-account-to-a-joint-account
66,exchange-pre-decimal-currency-in-branch
67,finding-bank-store-branch-number
68,new-business-internet-banking-summary-page
69,transfer-usd-from-fx-call-account-to-another-nz-bank-account
70,making-a-payment-for-a-police-infringement
71,persistent-internet-connection-error-message
72,making-extra-payments-to-my-variable-home-loan-via-internet-banking
73,loan
74,internet-banking-password-telephone-pin-reset
75,are-credit-cards-really-evil
76,cancelling-pending-transactions-request
77,bnz-phishing-email
78,home-loan-repayments
79,term-deposit-rwt
80,balance-transfer-mastercard
81,flexi-debit-visa-card-setting-a-pin-number
82,closing-account
83,developer-api
84,savings-goal-progress
85,money-tracking-with-bnz
86,feature-request-international-travels-debit-credit-card-in-foreign-currencies-that-i-can-load-those-currencies-directly
87,api-application-programming-interface
88,card-skimming-and-what-you-need-to-know
89,google-pay-needing-a-pin
90,documents-statements
91,watch-out-for-this-spark-scam
92,joint-account
93,stay-on-the-lookout-for-lottery-scams
94,are-you-owed-a-tax-refund
95,union-pay-we-chat
96,lost-wallet-found
97,customer-service-compaint-process-lack-thereoff
98,locked-out-of-my-account
99,kiwisaver-summary
100,account-statements
101,changing-your-name
102,help-me-to-close-my-account-please
103,account-locked
104,bnz-store-aesthetic
105,an-important-reminder-about-card-skimming
106,police-warn-of-sophisticated-phone-scam
107,aesthetics-of-the-flexi-debit-visa-card
108,bnz-customers-targeted-in-phishing-emails
109,skimming-on-atm-s-how-cards-get-compromised
110,internet-banking-business-term-loan
111,old-bank-notes
112,don-t-put-all-your-eggs-in-one-basket-this-easter
113,forgot-access-number
114,netguard-postage
115,totalmoney-calculator
116,copy-cat-callers
117,planning-your-social-calendar-make-sure-you-buy-your-tickets-from-reputable-sellers
118,accessing-internet-banking-from-new-ip-range
119,iphone-mobile-app-unavailable-issue-6
120,total-money-principal-paid-off
121,community-email-being-flagged-as-spam
122,account-sequence-on-mobile-app
123,christchurch-tragedy-related-scams-and-attacks
124,cancel-bank-transfer
125,multiple-businesses-on-business-app
126,charge-for-payment-on-business-mobile-app
127,blocked-account
128,balance-transfer
129,bank-account-for-research-exchange
130,apple-nz-cgs-charges
131,password-reset
132,kiwisaver-withdrawal-permanent-emigration-processing-time
133,scamsweek18-all-wrapped-up
134,investment-scams
135,stop-and-check-is-this-for-real
136,scammers-target-indian-community-again
137,looking-for-love-on-valentine-s-day
138,another-invoice-scam-doing-the-rounds
139,protect-your-privacy-this-week
140,scam-caller-mistakenly-calls-nz-police
141,it-s-international-fraud-awareness-week
142,is-this-for-real
143,tracking-down-very-old-international-money-transfer
144,here-s-a-super-tip-from-scamwatch-nz-and-us
145,don-t-be-catfished-this-valentine-s-day
146,stay-on-the-ball-if-you-get-an-unexpected-call
147,non-citizen-account
148,fast-cash-transactions
149,online-statement
150,mastercard
151,my-account-fee-is-115-a-month
152,internet-outage-today-12th-feb
153,look-out-for-this-ir-scam
154,term-investment
155,treating-small-business-like-garbage
156,replacement-card-mailed-or-not-mailed
157,existing-account-how-to-set-up-internet-banking
158,email-about-tax
159,bank-card
160,voda-fone-support-comment-query-to-you
161,westpact-to-bnz-transfer
162,credit-card-balance-unavailable
163,joint-credit-card-transaction
164,your-sign-off-attempt-wasnt-successful-at-all-sites
165,disallowed-transactions
166,happy-new-year
167,branch-opening-hours-not-correct-on-bnz-website
168,ifttt-for-online-banking
169,installing-bnz-mobile-apple-for-non-nz-regions
170,mistake-transaction
171,no-or-slow-responses-from-small-business-team
172,international-payment-to-bnz
173,bank-statements-not-up-to-date
174,remit-monies-out
175,email-notifications
176,foreign-cheque
177,report-issues-or-give-feedback-on-new-site
178,fradulent-transaction
179,closing-of-nz-call-centre
180,open-a-term-deposit-account
181,direct-credits
182,show-account-number-when-paying-from-ib
183,call-centre-hours
184,how-to-pay-advanced-personal-loan
185,red-flag-alert
