id,title,slug,posts,replies,highest_post_number,created_at,last_posted_at,bumped,bumped_at,unseen,pinned,visible,closed,archived,views,like_count,has_summary,category_id,pinned_globally,featured_link,has_accepted_answer
31610,What do you think of the new Activity feature in the BNZ app,what-do-you-think-of-the-new-activity-feature-in-the-bnz-app,32,15,34,2020-05-04T21:00:00.000Z,2020-06-21T22:55:16.371Z,True,2020-06-21T22:55:16.371Z,False,False,True,False,False,1300,24,False,13,False,,False
31366,Petition to make government departments still accept cheques,petition-to-make-government-departments-still-accept-cheques,3,1,3,2020-03-04T03:07:43.613Z,2020-06-15T09:26:47.925Z,True,2020-06-15T09:26:47.925Z,False,False,True,False,False,401,1,False,12,False,,False
31709,Insulation package,insulation-package,2,0,2,2020-06-05T21:59:47.298Z,2020-06-06T00:20:57.115Z,True,2020-06-06T00:20:57.115Z,False,False,True,False,False,98,1,False,12,False,,False
16435,Import payments from Xero,import-payments-from-xero,8,4,9,2016-11-09T22:37:41.899Z,2020-06-05T03:08:55.158Z,True,2020-06-05T03:08:55.158Z,False,False,True,False,False,5626,1,False,11,False,,False
31605,Help Bubble on Accounts screen is in the way,help-bubble-on-accounts-screen-is-in-the-way,7,2,7,2020-04-24T20:07:36.842Z,2020-06-05T02:39:36.176Z,True,2020-06-05T02:39:36.176Z,False,False,True,False,False,324,1,False,13,False,,False
241,Adding/Editing payees,adding-editing-payees,4,1,4,2016-05-19T23:55:38.000Z,2020-05-29T04:27:48.777Z,True,2020-05-29T04:27:48.777Z,False,False,True,False,False,3793,0,False,12,False,,False
31682,Mobile Prepay,mobile-prepay,2,0,2,2020-05-29T04:05:39.672Z,2020-05-29T04:21:18.632Z,True,2020-05-29T04:21:18.632Z,False,False,True,False,False,91,4,False,13,False,,False
31389,Push notification - more details please,push-notification-more-details-please,4,2,4,2020-03-18T01:48:22.157Z,2020-05-29T00:26:38.837Z,True,2020-05-29T00:26:38.837Z,False,False,True,False,False,301,0,False,13,False,,False
31669,Refresh Accounts Page,refresh-accounts-page,2,0,2,2020-05-25T03:10:49.085Z,2020-05-25T03:38:06.442Z,True,2020-05-25T03:38:06.442Z,False,False,True,False,False,96,0,False,13,False,,False
31082,Wrong suffix,wrong-suffix,4,0,4,2019-12-12T20:16:20.662Z,2020-05-24T23:39:27.834Z,True,2020-05-24T23:39:27.834Z,False,False,True,False,False,625,0,False,12,False,,False
30700,Adding an extra 0 onto bank account for payment,adding-an-extra-0-onto-bank-account-for-payment,5,1,5,2019-08-18T23:21:45.084Z,2020-05-24T08:35:24.498Z,True,2020-05-24T08:35:24.498Z,False,False,True,False,False,6202,0,False,13,False,,False
31591,Charge back,charge-back,3,0,3,2020-04-17T06:28:56.685Z,2020-05-17T08:24:17.364Z,True,2020-05-17T08:24:17.364Z,False,False,True,False,False,276,0,False,12,False,,False
28308,Using the search bar to find and filter transactions,using-the-search-bar-to-find-and-filter-transactions,5,1,5,2017-07-04T01:47:04.432Z,2020-05-05T01:41:45.651Z,True,2020-05-05T01:41:45.651Z,False,False,True,False,False,2684,1,False,13,False,,False
31600,Resident withholding tax certificates,resident-withholding-tax-certificates,4,3,4,2020-04-23T21:42:35.166Z,2020-04-24T00:36:39.745Z,True,2020-04-24T00:36:39.745Z,False,False,True,False,False,288,0,False,12,False,,False
31585,Access number for login online,access-number-for-login-online,6,2,6,2020-04-15T03:49:17.712Z,2020-04-20T03:28:18.002Z,True,2020-04-20T03:28:18.002Z,False,False,True,False,False,422,0,False,13,False,,False
31559,Atm deposit,atm-deposit,2,0,2,2020-04-07T00:18:51.299Z,2020-04-07T22:40:39.763Z,True,2020-04-07T22:40:39.763Z,False,False,True,False,False,314,0,False,35,False,,False
31554,Custom statements,custom-statements,4,0,4,2020-04-03T22:38:51.749Z,2020-04-03T23:14:30.468Z,True,2020-04-03T23:14:30.468Z,False,False,True,False,False,285,0,False,12,False,,False
31531,Closing Account from Overseas,closing-account-from-overseas,2,0,2,2020-03-30T08:55:07.292Z,2020-04-03T23:05:00.302Z,True,2020-04-03T23:05:00.302Z,False,False,True,False,False,269,0,False,12,False,,False
31540,New Visa Debit Card,new-visa-debit-card,2,0,2,2020-03-31T23:32:54.019Z,2020-04-01T20:08:08.732Z,True,2020-04-01T20:08:08.732Z,False,False,True,False,False,435,0,False,12,False,,False
30174,Smart ATM Enhancement,smart-atm-enhancement,5,1,5,2018-12-05T06:05:56.430Z,2020-04-01T08:26:42.041Z,True,2020-04-01T08:26:42.041Z,False,False,True,False,False,1409,2,False,12,False,,False
31516,Scammers take advantage of COVID-19 Pandemic,scammers-take-advantage-of-covid-19-pandemic,1,0,1,2020-03-26T01:25:45.123Z,2020-03-26T01:25:45.200Z,True,2020-03-26T01:25:45.200Z,False,False,True,False,False,367,0,False,34,False,,False
31432,Covid-19: Paywave,covid-19-paywave,1,0,1,2020-03-25T02:18:29.777Z,2020-03-25T02:18:29.833Z,True,2020-03-25T02:18:29.833Z,False,False,True,False,False,450,1,False,12,False,,False
